date,role_bucket,requirement_type,requirement,count,total
2026-05-24,junior_soc,skill,PowerShell,1,1
2026-05-24,junior_soc,skill,Python,1,1
2026-05-24,junior_soc,skill,Bash,1,1
2026-05-24,junior_soc,skill,Active Directory,1,1
2026-05-24,junior_soc,skill,Linux,1,1
2026-05-24,junior_soc,skill,Office 365 / M365,1,1
2026-05-24,junior_soc,skill,Group Policy,1,1
2026-05-24,junior_soc,yoe_bucket,6+,1,1
2026-05-24,junior_soc,remote,unspecified,1,1
2026-05-25,junior_soc,skill,PowerShell,1,1
2026-05-25,junior_soc,skill,Python,1,1
2026-05-25,junior_soc,skill,Bash,1,1
2026-05-25,junior_soc,skill,Active Directory,1,1
2026-05-25,junior_soc,skill,Linux,1,1
2026-05-25,junior_soc,skill,Office 365 / M365,1,1
2026-05-25,junior_soc,skill,Group Policy,1,1
2026-05-25,junior_soc,yoe_bucket,6+,1,1
2026-05-25,junior_soc,remote,unspecified,1,1
2026-05-25,junior_soc,skill,PowerShell,1,1
2026-05-25,junior_soc,skill,Python,1,1
2026-05-25,junior_soc,skill,Bash,1,1
2026-05-25,junior_soc,skill,Active Directory,1,1
2026-05-25,junior_soc,skill,Linux,1,1
2026-05-25,junior_soc,skill,Office 365 / M365,1,1
2026-05-25,junior_soc,skill,Group Policy,1,1
2026-05-25,junior_soc,yoe_bucket,6+,1,1
2026-05-25,junior_soc,remote,unspecified,1,1
2026-05-25,help_desk_it_admin,cert,ITIL,1,1
2026-05-25,help_desk_it_admin,skill,PowerShell,1,1
2026-05-25,help_desk_it_admin,skill,Bash,1,1
2026-05-25,help_desk_it_admin,skill,Ticketing (ServiceNow/Jira),1,1
2026-05-25,help_desk_it_admin,yoe_bucket,3-5,1,1
2026-05-25,help_desk_it_admin,remote,unspecified,1,1
2026-05-25,junior_soc,skill,Python,3,3
2026-05-25,junior_soc,skill,Linux,2,3
2026-05-25,junior_soc,skill,PowerShell,1,3
2026-05-25,junior_soc,skill,Bash,1,3
2026-05-25,junior_soc,skill,Active Directory,1,3
2026-05-25,junior_soc,skill,Office 365 / M365,1,3
2026-05-25,junior_soc,skill,Group Policy,1,3
2026-05-25,junior_soc,yoe_bucket,6+,1,2
2026-05-25,junior_soc,yoe_bucket,3-5,1,2
2026-05-25,junior_soc,remote,unspecified,3,3
2026-05-25,help_desk_it_admin,cert,Security+,3,32
2026-05-25,help_desk_it_admin,cert,Network+,3,32
2026-05-25,help_desk_it_admin,cert,A+,3,32
2026-05-25,help_desk_it_admin,cert,CISSP,3,32
2026-05-25,help_desk_it_admin,cert,MCSE,3,32
2026-05-25,help_desk_it_admin,cert,ITIL,1,32
2026-05-25,help_desk_it_admin,skill,Linux,20,32
2026-05-25,help_desk_it_admin,skill,Ticketing (ServiceNow/Jira),9,32
2026-05-25,help_desk_it_admin,skill,Python,7,32
2026-05-25,help_desk_it_admin,skill,Bash,7,32
2026-05-25,help_desk_it_admin,skill,PowerShell,5,32
2026-05-25,help_desk_it_admin,skill,TCP/IP,3,32
2026-05-25,help_desk_it_admin,skill,Active Directory,1,32
2026-05-25,help_desk_it_admin,skill,Office 365 / M365,1,32
2026-05-25,help_desk_it_admin,skill,Splunk,1,32
2026-05-25,help_desk_it_admin,yoe_bucket,3-5,7,19
